Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Travis&Steph,"God made us in his image and likeness, with an imagination and creativity. A show that inspires belief in God and to commune with Him is alright in my book. And let's not deceive ourselves, making ourselves out to be so holy and above this show and others like it. It is good to contemplate Jesus and his followers, to consider what things could have taken place, to understand that his followers weren't very different from us today. God loves us, and since the beginning of time, man has groped for an understanding of God and His ineffable ways. God's love to all!",Against,,"
    0
  ",,2 months ago (edited)
Mary MM,"A friend loaned me the first season and I couldn’t get past the first couple episodes. The Holy Spirit convicted me something wasn’t right. Making Peter a conman who lies to everyone for gain barely escaping death made me angry . They’re giving the apostles personality traits scripture doesn’t. We start seeing them through the lens of the show not scripture. I’m still trying to get this actor’s face out of my head when I read Jesus. 

I’ve seen a clip of the apostles calling John the Baptist “crazy John” and even Jesus laughing at it!  That’s sinful, when Jesus said in Matt11:11 there is no one born of woman greater than John. He was the Elijah to come announcing the Messiah. Does anyone remember what happened to the 42 boys who were making fun of Elijah in 
1 Kings 2:23? He cursed them and two she bears came out and killed them. Sounds like making fun of God’s prophet is a deadly serious offense but not to Dallas Jenkins I guess. 

Disciple with the word of God not fan fiction. The director calling Roman Catholics and LDS our brothers should be enough for a Christian to run and not look back. ️",For,,"
    0
  ",,8 months ago
Josh B,"Matthew 24.5 
For many shall come in my name, saying, I am Christ; and shall deceive many.",For,,"
    0
  ",,8 months ago
N A,"Getting way too caught up in the denominations differences with approaching the Chosen, just bcs it's a faith-centered series, and we then miss the point of the portrayl, vs if everyone who is acting and playing a part in the series are actually Christians.
For example, Neil Patrick Harris did really well as Barney Stenson and became one of the most memorable characters of How I Met Your Mother bcs of his portrayl of his character as a bachelor and being a straight person, when in real life he's gay and doesn't act like Stenson.",Against,,"
    0
  ",,3 months ago
Vinicius Oliveira Fontes,What about depicting a person of the Trinity? Should it not be against the 2nd commandment too (or Isaiah 42:8 among other texts)?,Against,,"
    0
  ",,8 months ago
Judge Dredd,"Sincerely curious if people who say the same HS who steered them away from The Chosen had nothing to say about The Office, LOTR, GoT, Marvel movies, name your movie or the series that contain all sorts of profanity, crude humor, etc.
I avoided watching the chosen up until a few months ago. I feel silly having avoided them and instead I rewatched The Office. I had no objective reason to not watch it I just didn’t feel like it. But like many others, I felt a strong pull to the Bible during and after watching. I began to talk so much more about what is actually in the Bible. I’ve engaged in very fruitful debates. I’ve only become more sanctified afterwards (not because of watching the chosen, but from reading His word). 

These comments I read about people being relieved to have avoided a show about Jesus because it is not the Bible verbatim and it contains extra-biblical details are hard to take serious knowing most people in most churches have TVs or smart phones and they don’t just use them for streaming sermons. I’m positive that most (85%+) people will be better after (not because of) watching the chosen instead of their usual screen time preferences, but this is not the affirmation they are looking for. I’m glad to have never watched a second of game of thrones, but gosh some of these comments sound like people prefer GoT to the Chosen… weird flex but okay.",Against,,"
    0
  ",,5 months ago
isaac melchor,"as a faithful christian I love the chosen and obviously it bears much good fruit and brought many people to christ and I believe God is obviously behind it. obviously its not to replace scripture or has the same authority as the word of God but it  has helped many people and brought them to read the Bible and to follow christ. As long as christ is being preached and reaching millions of people, all glory to God almighty. Why would any real believer wanna get in the way of what God wants to do. Learn to love one another just as christ has loved us.",Against,,"
    0
  ",,8 months ago
Cruzer Black,The Pharisee will be there till the day Jesus comes,Against,,"
    0
  ",,4 months ago
Hunter Haines,I think that as long as the Chosen is Biblically accurate it shouldn’t matter.,Against,,"
    0
  ",,5 months ago
TRS S,Are there any cessationist churches or groups in Australia?,Drop,,"
    0
  ",,8 months ago
Final Odyssey,"People pleasers won't recognize their desire for men to praise their efforts for appearing set apart,  but God knows the heart better than Todd and Dallas since He alone chooses the foolish things of the world to confound the wise.",Against,,"
    0
  ",,5 months ago
L8Revu,"I am not defending Chosen here and also agree with points raised by Todd.

I also have experience working with so called “evangelical” christian content industry.  I am sorry to say they are not any better (if not worse).  Not to mention being cheap on finding such projects.",For,,"
    0
  ",,8 months ago
Wes Meyers,Et tu Chosen? Guess I'll just go join a monastery.,Against,,"
    0
  ",,8 months ago
Geoff Noyes,"The big win for Mormons taking part in this production is both powerful and subtle.
Primarily because it includes them in the production of a major 'christian' movie produced by 'Christians' about the life of Jesus Christ, with no awkward portrayals about the book of Mormon or Joseph Smith.
Mormons have made great efforts particularly recently to align themselves with biblical Christianity, ie officially dropping the Mormon name and insisting on being called 'the church of Jesus Christ of latter day saints'.
The Mormon Tabernacle choir have been re named for example.
They believe close proximity and assistance in this landmark production will enhance their acceptance amongst other churches as fellow christians.
The bizarre history and claims of Joseph Smith, and the inclusion of his writings being their holy scriptures (along with the Bible), have up to now usually excluded them from being considered a Bible believing church,
As has in particular the story in the book of Mormon.
This is a perception they are working hard to eliminate, being involved in the production of the chosen fits in perfectly with this goal.
Todd Friel has the discernment to understand this.
Mormonism's doctrines practices and teachings, the legacy Joseph Smith left behind and that mark it out so clearly as none christian remain completely unchanged however.",For,,"
    0
  ",,1 month ago
